Observation;;;MaxVisitRatio;EMAC;PERG;Same o2 o3;;;;
0;20;20;0,0003;0;;TRUE;;149;;
1;20;20;0,0003;0;;TRUE;;23;;
4;18;18;0,0007;0;;TRUE;;;;
5;12;12;0,0003;0;;TRUE;;15%;;
6;3;3;0,0003;0;;TRUE;;;;
7;3;3;0,0003;0;;TRUE;;;;
7;6;6;0,0003;0;;TRUE;;;;
8;-1;1;0,0004;0;;FALSE;;;;
8;0;0;0,0004;0;;TRUE;;;;
8;1;1;0,0004;0;;TRUE;;;;
8;2;2;0,0004;0;;TRUE;;;;
8;20;20;0,0017;0;;TRUE;;;;
9;3;3;0,001;0;;TRUE;;;;
10;3;2;0,0007;0;;FALSE;;;;
10;14;14;0,0003;0;;TRUE;;;;
11;-1;1;0,0003;0;;FALSE;;19;;
11;1;1;0,0004;0;;TRUE;;;;
11;11;11;0,0003;0;;TRUE;;;;
11;20;20;0,0004;0;;TRUE;;;;
12;6;6;0,0003;0;;TRUE;;;;
13;2;2;0,0003;0;;TRUE;;;;
14;-1;1;0,0003;0;;FALSE;;23;0,826086957;12,39130435
14;3;3;0,0007;0;;TRUE;;;;
15;-1;1;0,0004;0;;FALSE;;;;
15;0;0;0,0004;0;;TRUE;;;;
15;3;3;0,0007;0;;TRUE;;;;
15;20;20;0,0003;0;;TRUE;;;;
16;-1;1;0,0003;0;;FALSE;;;;
16;3;3;0,0003;0;;TRUE;;;;
16;9;9;0,0007;0;;TRUE;;;;
17;0;0;0,0004;0;;TRUE;;;;
17;1;1;0,0004;0;;TRUE;;;;
17;18;18;0,0004;0;;TRUE;;;;
18;3;3;0,0003;0;;TRUE;;;;
18;5;5;0,0003;0;;TRUE;;;;
19;-1;1;0,0003;0;;FALSE;;;;
20;-1;1;0,0007;0;;FALSE;;;;
20;3;3;0,0003;0;;TRUE;;;;
20;20;20;0,0004;0;;TRUE;;;;
21;-1;1;0,0003;0;;FALSE;;;;
21;7;7;0,0003;0;;TRUE;;;;
22;9;9;0,0003;0;;TRUE;;;;
23;-1;1;0,0003;0;;FALSE;;;;
23;5;5;0,0003;0;;TRUE;;;;
23;16;16;0,0004;0;;TRUE;;;;
24;-1;1;0,0004;0;;FALSE;;;;
24;3;3;0,001;0;;TRUE;;;;
24;11;11;0,0004;0;;TRUE;;;;
25;3;3;0,0003;0;;TRUE;;;;
25;20;20;0,0004;0;;TRUE;;;;
26;-1;1;0,0014;0;;FALSE;;;;
26;0;0;0,0004;0;;TRUE;;;;
26;1;1;0,0004;0;;TRUE;;;;
26;2;2;0,0004;0;;TRUE;;;;
26;3;3;0,0007;0;;TRUE;;;;
26;7;7;0,0003;0;;TRUE;;;;
26;9;9;0,0004;0;;TRUE;;;;
26;10;10;0,0004;0;;TRUE;;;;
26;18;18;0,0004;0;;TRUE;;;;
27;5;5;0,0003;0;;TRUE;;;;
28;-1;1;0,0007;0;;FALSE;;;;
28;2;2;0,0007;0;;TRUE;;;;
28;3;3;0,0004;0;;TRUE;;;;
28;4;4;0,0004;0;;TRUE;;;;
28;7;7;0,0003;0;;TRUE;;;;
28;9;9;0,0004;0;;TRUE;;;;
28;11;11;0,0004;0;;TRUE;;;;
29;-1;1;0,0004;0;;FALSE;;;;
30;1;1;0,0004;0;;TRUE;;;;
33;3;10;0,0003;0;;FALSE;;;;
33;8;8;0,0003;0;;TRUE;;;;
34;6;6;0,0003;0;;TRUE;;;;
36;-1;1;0,0022;0;;FALSE;;;;
36;0;0;0,001;0;;TRUE;;;;
36;1;1;0,0024;0;;TRUE;;;;
36;2;2;0,0014;0;;TRUE;;;;
36;3;3;0,0018;0;;TRUE;;;;
36;4;4;0,0018;0;;TRUE;;;;
36;7;7;0,0007;0;;TRUE;;;;
36;8;8;0,0004;0;;TRUE;;;;
36;9;9;0,0011;0;;TRUE;;;;
36;10;10;0,0004;0;;TRUE;;;;
36;11;11;0,0004;0;;TRUE;;;;
36;12;12;0,0007;0;;TRUE;;;;
36;14;14;0,0007;0;;TRUE;;;;
36;16;16;0,0007;0;;TRUE;;;;
36;18;18;0,0014;0;;TRUE;;;;
36;19;19;0,0003;0;;TRUE;;;;
36;20;20;0,0014;0;;TRUE;;;;
36;22;22;0,0007;0;;TRUE;;;;
36;23;23;0,0004;0;;TRUE;;;;
37;-1;1;0,0014;0;;FALSE;;;;
37;0;0;0,0034;0;;TRUE;;;;
37;1;1;0,0044;0;;TRUE;;;;
37;2;2;0,0031;0;;TRUE;;;;
37;3;3;0,0034;0;;TRUE;;;;
37;4;4;0,001;0;;TRUE;;;;
37;5;5;0,0004;0;;TRUE;;;;
37;6;6;0,0003;0;;TRUE;;;;
37;7;7;0,0003;0;;TRUE;;;;
37;8;8;0,0004;0;;TRUE;;;;
37;9;9;0,0024;0;;TRUE;;;;
37;10;10;0,0007;0;;TRUE;;;;
37;13;13;0,0003;0;;TRUE;;;;
37;14;14;0,0004;0;;TRUE;;;;
37;15;15;0,0007;0;;TRUE;;;;
37;16;16;0,0007;0;;TRUE;;;;
37;18;18;0,002;0;;TRUE;;;;
37;20;20;0,0024;0;;TRUE;;;;
37;21;21;0,0004;0;;TRUE;;;;
37;22;22;0,0007;0;;TRUE;;;;
37;23;23;0,0003;0;;TRUE;;;;
38;8;8;0,0003;0;;TRUE;;;;
39;2;2;0,0004;0;;TRUE;;;;
39;3;3;0,0004;0;;TRUE;;;;
42;18;23;0,0003;0;;FALSE;;;;
43;-1;1;0,0004;0;;FALSE;;;;
43;1;1;0,0007;0;;TRUE;;;;
43;3;3;0,0003;0;;TRUE;;;;
43;11;11;0,0007;0;;TRUE;;;;
43;14;14;0,0003;0;;TRUE;;;;
43;16;16;0,0007;0;;TRUE;;;;
43;18;18;0,0003;0;;TRUE;;;;
43;20;20;0,001;0;;TRUE;;;;
43;22;22;0,0004;0;;TRUE;;;;
45;1;1;0,001;0;;TRUE;;;;
45;2;2;0,0123;0;;TRUE;;;;
45;3;3;0,0007;0;;TRUE;;;;
45;19;19;0,0003;0;;TRUE;;;;
45;20;20;0,0003;0;;TRUE;;;;
47;-1;14;0,0003;0;;FALSE;;;;
47;0;0;0,0129;0;;TRUE;;;;
47;1;1;0,0155;0;;TRUE;;;;
47;2;2;0,0079;0;;TRUE;;;;
47;3;3;0,0173;0;;TRUE;;;;
47;4;4;0,0051;0;;TRUE;;;;
47;6;2;0,0003;0;;FALSE;;;;
47;8;8;0,0047;0;;TRUE;;;;
47;11;11;0,0115;0;;TRUE;;;;
47;13;13;0,0024;0;;TRUE;;;;
47;14;14;0,002;0;;TRUE;;;;
47;15;15;0,0027;0;;TRUE;;;;
47;16;16;0,002;0;;TRUE;;;;
47;19;19;0,0017;0;;TRUE;;;;
47;21;21;0,0011;0;;TRUE;;;;
47;22;22;0,0044;0;;TRUE;;;;
47;23;23;0,0003;0;;TRUE;;;;
48;-1;2;0,0004;0;;FALSE;;;;
48;-1;13;0,0003;0;;FALSE;;;;
48;0;0;0,0173;0;;TRUE;;;;
48;1;1;0,0198;0;;TRUE;;;;
48;2;2;0,0111;0;;TRUE;;;;
48;3;3;0,0194;0;;TRUE;;;;
48;4;4;0,005;0;;TRUE;;;;
48;5;5;0,0072;0;;TRUE;;;;
48;6;6;0,0047;0;;TRUE;;;;
48;7;7;0,0061;0;;TRUE;;;;
48;8;8;0,0058;0;;TRUE;;;;
48;10;10;0,0022;0;;TRUE;;;;
48;11;11;0,009;0;;TRUE;;;;
48;12;12;0,0004;0;;TRUE;;;;
48;13;13;0,0011;0;;TRUE;;;;
48;14;14;0,0011;0;;TRUE;;;;
48;15;15;0,0011;0;;TRUE;;;;
48;16;16;0,0029;0;;TRUE;;;;
48;18;18;0,0108;0;;TRUE;;;;
48;19;19;0,0018;0;;TRUE;;;;
48;20;20;0,0151;0;;TRUE;;;;
48;21;21;0,0011;0;;TRUE;;;;
48;22;22;0,0047;0;;TRUE;;;;
48;23;23;0,0007;0;;TRUE;;;;
49;20;20;0,001;0;;TRUE;;;;
